Path,Date,Width,Height
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/OnBoarding/IVY_onboardEmployee.png,1335563904000,1419,731
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/OnBoarding/Process_onboard_worker.png,1335563908000,1271,796
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/OnBoarding/WLM_ActivityGuideClient.png,1335563918000,1465,778
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Completing_Performance_Review/Snap21.png,1335913220000,1472,946
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Completing_Performance_Review/Snap20.png,1335913236000,1472,947
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Completing_Performance_Review/Snap19.png,1335913252000,1472,947
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Completing_Performance_Review/Snap18.png,1335913266000,1472,946
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Completing_Performance_Review/Snap17.png,1335913282000,1472,946
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Completing_Performance_Review/Snap16.png,1335913302000,1472,946
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Completing_Performance_Review/Snap15.png,1335913322000,1472,947
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Completing_Performance_Review/Snap14.png,1335913338000,1471,946
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Completing_Performance_Review/Snap13.png,1335913370000,1472,946
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Completing_Performance_Review/Snap12.png,1335913382000,1472,946
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Completing_Performance_Review/Snap11.png,1335913398000,1472,946
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Completing_Performance_Review/Snap10.png,1335913416000,1471,945
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Creating_SettingUp_Goal/Snap9.png,1335913432000,1472,946
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Creating_SettingUp_Goal/Snap8.png,1335913448000,1472,947
